# Akram-ut-Tarajum — Urdu OCR ground-truth corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -
002:024	پھر اگر تم یہ کام نہ کرسکے اور ہرگز نہ کر سکو گے تو اس آگ سے ڈرو جِس کا ایندھن آدمی اور پتھر ہوں گے (اور) جو کافروں کے لیے تیار کی گئی ہے۔
002:025	اور جو لوگ ایمان لائے اور نیک کام کرتے رہے ان کو خوشخبری سنا دو کہ ان کے لئے باغات ہیں جن کے تابع نہریں بہہ رہی ہیں جب ان میں سے انہیں کسی قسم کا پھل کھانے کو دیا جائے گا تو کہیں گے یہ تو وہی ہے جو ہم کو پہلے دیا گیا تھا اور ان کوایک دوسرے سے ملتے جلتے (پھل)دیئے جائیں گے اور وہاں ان کے لئے پاک بیویاں ہوں گی اور وہ ان (باغوں)میں ہمیشہ رہیں گے۔
002:026	یقیناً اللہ مچھر یا اس سے اوپر کی (کم تر)کسی شے کی مثال دینے سے نہیں شرماتے ہاں پس جو مومن ہیں وہ جانتے ہیں کہ یہ ان کے پروردگار نے حق کہا ہے (یعنی سچی بات اور بر موقع ہے)اور جو کافر ہیں تو وہ کہتے ہیں کہ اس مثال سے اللہ کی کیا مراد ہے؟اکثر لوگوں کو وہ (اللہ)اس سے گمراہ کرتے ہیں اور اکثر کو اس سے ہدایت بخشتے ہیں اور وہ اس سے صرف نافرمانوں کو گمراہ کرتے ہیں۔
002:027	جو لوگ اللہ سے پکا وعدہ کرنے کے بعد توڑ دیتے ہیں اور اللہ نے جس کے جوڑنے کا حکم دیا ہے اس کو توڑتے ہیں اور زمین میں خرابی کرتے ہیں یہی لوگ نقصان اٹھانے والے ہیں۔
002:028	تم اللہ کا انکار کیسے کرسکتے ہو اور تم بے جان تھے پھر اس نے تم کو حیات دی پھر تم کو موت دے گا پھر تمہیں زندہ کرے گا پھر تم اسی کے پاس لوٹائے جاؤ گے۔
002:029	وہی تو ہے جس نے زمین میں سب کچھ تمہارے لئے پیدا کیا پھر آسمانوں کی طرف توجہ فرمائی تو سات آسمان درست بنادیئے اور وہ سب چیزوں سے آگاہ ہے۔
002:030	اور جب آپ کے پروردگار نے فرشتوں سے کہا کہ میں زمین میں (اپنا)نائب بنانے والا ہوں۔ فرشتوں نے کہا کہ آپ اس (زمین)میں ایسے لوگوں کو نائب بنانا چاہتے ہیں جو اس میں فساد کریں گے اور خون ریزیاں کریں گے اور ہم آپ کی تسبیح کرتے ہیں (اور)تعریف کرتے اورآپ کی پاکی بیان کرتے ہیں فرمایا جو میں جانتا ہوں وہ تم نہیں جانتے۔
002:031	اور آدم(علیہ السلام)کو تمام چیزوں کے نام سکھا دیئے پھر وہ(چیزیں)فرشتوں کے سامنے کردیں تو(فرشتوں سے)فرمایا کہ اگر تم سچے ہو تو ان کے اسماء (مع خواص)بیان کرو۔
002:032	انہوں نے کہا کہ آپ پاک ہیں جتنا علم آپ نے ہم کو دیا اس کے علاوہ ہمیں کچھ معلوم نہیں بے شک آپ جاننے والے اور حکمت والے ہیں۔
002:033	فرمایا اے آدم(علیہ السلام)! ان کو ان چیزوں کے نام بتائیے پھر جب انہوں نے ان کو ان کے نام بتائے تو فرمایا کیا میں نے تم سے کہا نہیں تھا کہ میں آسمانوں اور زمین کی تمام پوشیدہ باتیں جانتا ہوں اور جو تم ظاہر کرتے ہو اور جو تم چھپاتے ہو وہ (سب)بھی جانتا ہوں۔
002:034	اور جب ہم نے فرشتوں کو حکم دیا کہ آدم(علیہ السلام)کو سجدہ کرو تو ابلیس کے علاوہ سب سجدہ میں گر گئے اس نے (غرور میں آکر) انکار کیا اور تکبر کیا اور وہ (علم الٰہی میں)تھا ہی کافروں میں سے۔
002:035	اور ہم نے آدم (علیہ السلام)سے فرمایا آپ اور آپ کی بیوی جنت میں رہیں اور اس میں جہاں سے چاہیں مزے سے کھائیں(پئیں)اور اس درخت کے قریب مت جائیں ورنہ نقصان اٹھانے والوں میں سے ہوجائیں گے۔
002:036	پھر شیطان نے ان کو اس سے بہکایا تو جس (عیش ونشاط)میں تھے اس سے ان کو نکلوادیا اورہم نے فرمایا (یہاں سے)چلے جاؤ تم ایک دوسرے کے دشمن ہو اور تمہارے لیئے زمین میں ایک مقررہ وقت تک رہائش اور معاش ہے۔
002:037	پھر آدم(علیہ السلام)نے اپنے پروردگار سے کچھ کلمات سیکھے تو اُس نے ان کو معاف کردیا بے شک وہ بڑا معاف کرنے والا(اور)رحم کرنے والا ہے۔
002:038	ہم نے فرمایا تم سب یہاں سے نیچے چلے جاؤ پھر جب تمہارے پاس میری طرف سے راہنمائی پہنچے تو جو میری راہنمائی کی پیروی کریں گے تو ان کو کوئی ڈر ہوگا اور نہ وہ افسوس کریں گے۔
002:039	اور جنہوں نے ہماری آیات کا انکار کیا اور جھٹلایا وہ دوزخ میں رہنے والے ہیں(اور)وہ اس میں ہمیشہ رہیں گے۔
002:040	اے اولاد یعقوبؑ! جو احسانات میں نے تم پر کیے وہ یاد کرو اور جو وعدہ تم نے مجھ سے کیا وہ پورا کرو میں نے جو وعدہ تم سے کیا ہے وہ پورا کروں گا اور صرف مجھ سے ہی ڈرا کرو۔
002:041	اور جو میں نے نازل فرمایا ہے اس پر ایمان لاؤ کہ وہ جو تمہارے پاس ہے اس کی تصدیق کرتا ہے اور اس کا انکار کرنے والوں میں پہلے نہ بنو اور میری آیات کو گھٹیا قیمت (دنیا)کے بدلے مت بیچو اور صرف میرا تقویٰ اختیار کرو۔
002:042	اور حق کو جھوٹ سے آمیز نہ کرو اور تم حق کو چھپاتے ہو اور یہ تم جانتے ہو۔
002:043	اور نماز (صلوٰۃ) قائم کرو اور زکوٰۃ دو اور رکوع کرنے والوں کے ساتھ رکوع کرو۔
002:044	کیا تم لوگوں کو نیکی کا حکم کرتے ہو اور اپنے آپ کو بھول جاتے ہو حالانکہ تم کتاب پڑھتے ہو پھر تم اتنا بھی نہیں سمجھتے۔
002:045	اور صبر اور صلوٰۃ سے مدد حاصل کرو اور بے شک یہ دشوار ہے مگر ان کے لیئے نہیں جن کے دلوں میں خشوع ہے۔
002:046	وہ ، وہ لوگ ہیں جو جانتے ہیں کہ انہیں اپنے پروردگار کی بارگاہ میں پیش ہونا ہے اور انہیں اسی کی طرف واپس جانا ہے۔
002:047	اے اولاد یعقوبؓ ! میری نعمت یاد کرو جو میں نے تم پر انعام کی اور میں نے تمہیں تمام جہان والوں پر فضیلت دی۔
002:048	اور اس دن سے ڈرو جب کوئی کسی کے کچھ کام نہ آئے گا اور نہ کسی سے سفارش قبول کی جائے گی اور نہ کسی سے بدلے میں کچھ لیا جائے گا اور نہ کوئی (کسی اور طرح سے)کسی کی مدد کرسکے گا۔
002:049	اور جب ہم نے تم کو فرعون کی قوم سے نجات دی جو تمہیں دکھ دینے کی فکر میں رہتے تھے تمہارے بیٹوں کو ذبح کرتے اور تمہاری بیٹیوں کو زندہ رکھتے تھے اور اس میں تمہارے پروردگار کی طرف سے بہت بڑی آزمائش تھی۔
002:050	اور جب ہم نے تمہاری خاطر سمندر کو پھاڑ دیا پھر تمہیں بچا لیا اورآل فرعون کو (فرعون سمیت)غرق کردیا اور تم یہ(سب)دیکھ رہے تھے۔
002:051	اور جب ہم نے موسیٰ(علیہ السلام)سے چالیس راتوں کا وعدہ کیا پھر تم نے ان کے بعد بچھڑے کو(معبود)بنالیا اور تم بہت غلط کار تھے۔
002:052	پھر اس کے بعد(بھی)ہم نے تم کو معاف کردیا تاکہ تم شکر کرو۔
002:053	اور جب ہم نے موسیٰ (علیہ السلام) کو کتاب اور فیصلہ کرنے کی چیز (معجزہ) دی تاکہ تم ہدایت پاسکو۔
002:054	اور جب موسیٰ(علیہ السلام) نے اپنی قوم سے فرمایا کہ اے میری قوم! تم نے گئو سالہ پرستی کرکے یقینا اپنا بڑا نقصان کرلیاہے پس اپنے پیدا کرنے والے کے سامنے توبہ کرو پس بعض، بعض کو قتل کرو یہ تمہارے پیدا کرنے والے کے نزدیک تمہارے لیئے بہتر ہے سو اسی نے تمہاری توبہ قبول کرلی یقینا وہ توبہ قبول کرنے والا نہایت رحم کرنے والا ہے۔
002:055	اور جب تم نے کہا اے موسیٰ (علیہ السلام)! ہم آپ کے کہنے سے ہرگزایمان نہ لائیں گے یہاں تک کہ ہم اللہ کو واضح دیکھ لیں تو اس (گستاخی)پر تم پربجلی کی کڑک آ پڑی اور تم دیکھ رہے تھے۔
002:056	پھر ہم نے تمہارے مرنے کے بعد تمہیں زندہ کر اٹھایا تاکہ تم شکر کرو۔
002:057	اور ہم نے تم پر بادل سایہ فگن کیا اور تم کو من وسلویٰ (ترنجبین اور بٹیریں)عطا کیں کہ ہماری عطا سے پاکیزہ چیزیں کھاؤ اور انہوں نے ہمارے ساتھ زیادتی نہیں کی بلکہ وہ اپنے آپ کے ساتھ زیادتی کرتے رہے۔
002:058	اور جب ہم نے کہا اس شہر میں داخل ہوجاؤ پھر اس میں جہاں سے چاہو بافراغت کھاؤ اور دروازے سے سرنگوں ہوکر (سجدہ کرتے ہوئے)اور بخشش مانگتے ہوئے داخل ہونا ہم تمہاری خطائیں بخش دیں گے اور نیکی کرنے والوں کو اور زیادہ دیں گے۔
002:059	پھر ظالموں نے جو بات ان سے کہی گئی تھی اس کو بدل ڈالا تو ہم نے ظلم کرنے والوں پر آسمان سے عذاب اتارا اس وجہ سے کہ وہ بدکار تھے۔
002:060	اور جب موسیٰ (علیہ السلام)نے اپنی قوم کے لیے پانی کی دعا کی تو ہم نے فرمایا اپنے عصا کو اس پتھر پر ماریں تو اس میں سے بارہ چشمے پھوٹ نکلے ہر شخص کو اپنے گھاٹ کا پتہ چل گیا (فرمایا)اللہ کے دئیے سے کھاؤ اور پیو اور زمین پر فساد کرتے ہوئے نہ پھرو۔
002:061	اور جب تم نے کہا اے موسیٰ(علیہ السلام)! ہم ایک ہی قسم کے کھانے پہ ہرگز نہ رہیں گے پس اپنے پروردگار سے ہمارے لیئے دعا کیجئے کہ ہمیں زمین کی پیداوار عطا کرے جیسے ساگ اور ککڑی اور گیہوں اور مسور اور پیاز تو انہوں نے فرمایا کیا تم اعلیٰ نعمت کو کمتر چیزوں سے بدلنا چاہتے ہو۔کسی شہر میں اترو تو یقیناً وہاں تمہیں تمہاری مطلوبہ چیزیں مل جائیں گی اور ان پر ذلت اور فقیری مسلط کردی گئی اور غضب الٰہی کے مستحق ٹھہرے یہ اس لیئے کہ وہ احکام الٰہی کا انکار کرتے اور انبیاء کو ناروا قتل کرتے تھے(اور)اس لیئے کہ نافرمانی کرتے اور حد سے نکل جاتے تھے۔
002:062	یقیناً جو مسلمان ہوئے اور جو لوگ یہودی ہوئے اور نصرانی اور صابئین (بے دین)(غرض)جو بھی اللہ پر اور آخرت کے دن پر یقین رکھتا ہو اور نیک کام کرے تو ایسے لوگوں کے لیئے ان کے پروردگار کے پاس اُن کا اجر ہے اور انہیں کوئی ڈر ہوگا اور نہ افسوس۔
002:063	اور جب ہم نے تم سے عہد لیا اور تم پر طور (پہاڑ)کو معلق کردیا کہ جو کچھ ہم نے تمہیں دیا ہے اُسے مضبوطی سے اختیار کرو اور جو اس میں ہے اسے یاد کرو تاکہ تم پرہیز گار بن سکو۔
002:064	پھر اس کے بعد تم پھر گئے پس اگر تم پر اللہ کا کرم اور اس کی رحمت نہ ہوتی تو تمہارا بہت نقصان ہوتا۔
002:065	اور یقینا تم اپنے لوگوں کو جانتے ہو جو ہفتے والے دن(کے حکم)سے حد سے نکل گئے تو ہم نے ان کو حکم دیا کہ تم ذلیل بندر بن جاؤ۔
002:066	پھر اس (قصّےّ)کو ہم نے عبرت بنادیا ان کے ہم عصر لوگوں کے لیئے اور بعد میں آنے والوں کے لیئے اور نصیحت پرہیزگاروں کے لیئے۔
002:067	اور جب موسیٰ (علیہ السلام)نے اپنی قوم سے فرمایا یقینا اللہ نے تمہیں حکم دیا ہے کہ ایک بیل ذبح کرو تو کہنے لگے کیا آپ ہم سے مذاق کرتے ہیں؟ انہوں نے فرمایا میں جاہلوں میں شامل ہونے سے اللہ کی پناہ مانگتا ہوں۔
002:068	تو انہوں نے کہا اپنے پروردگار سے ہمارے لیئے دعا کریں ہمیں بتائے کہ وہ بیل کیسا ہے؟ تو انہوں نے فرمایا وہ فرماتا ہے کہ بے شک وہ بیل نہ بوڑھا ہے اور نہ بچہ، اس کے درمیان جوان ہے پس تمہیں جو حکم دیا گیا ہے اس پر عمل کرو۔
002:069	انہوں نے کہا اپنے پروردگار سے ہمارے لئے دعا کریں وہ ہمیں بتائے کہ اس کا رنگ کیا ہے؟ تو انہوں نے فرمایا وہ فرماتا ہے کہ اس کا رنگ گہرا زرد ہے (کہ)دیکھنے والوں کو بہت اچھا لگتا ہے۔
002:070	انہوں نے کہا کہ اپنے رب سے ہمارے لئے دعا کریں ہمیں بتا دے کہ وہ بیل کیسا ہے؟ بلا شبہ ہمیں اس بیل کے بارہ میں اشتباہ ہے اور یقیناً ہم اس بار اگر اللہ نے چاہا تو ضرور سمجھ جائیں گے۔
002:071	تو انہوں نے فرمایا کہ وہ فرماتا ہے وہ بیل نہ ہل جوتا ہوا ہے کہ کھیتی میں ہل چلایا ہو اور نہ اس سے زراعت کی آبپاشی کی گئی ہو ہر نقص سے پاک ہے اس میں کوئی داغ نہیں کہنے لگے اب آپ نے ٹھیک کہا پھر انہوں نے اس (بیل)کو ذبح کیا اور لگتا تھا کہ وہ ایسا نہیں کریں گے۔
002:072	اور جب تم لوگوں نے ایک بندہ قتل کردیا پھر اس پر تمہارے اختلافات پیدا ہوئے اور جو بات تم چھپانا چاہتے تھے، اللہ اس کو ظاہر کرنے والے تھے۔
002:073	تو ہم نے کہا کہ اس (میت )کو اس(بیل)کے ٹکڑے سے چھوُ دو اسی طرح اللہ(قیامت کو) مردوں کو زندہ کریں گے اور وہ تم کو اپنی نشانیاں دکھاتے ہیں تاکہ تم سمجھ سکو۔
002:074	پھر اس کے بعد تمہارے دل سخت ہو گئے پتھروں کی طرح بلکہ ان سے کہیں زیادہ سخت اور یقیناً بعض چٹانیں ایسی ہوتی ہیں کہ ان میں سے نہریں پھوٹ نکلتی ہیں اور بے شک بعض ان میں پھٹ جاتی ہیں تو ان میں سے پانی بہہ نکلتا ہے اور بے شک کچھ ان میں ایسی ہوتی ہیں کہ خشیت الٰہی سے گر جاتی ہیں۔ اور اللہ تمہارے اعمال سے بے خبر نہیں۔
002:075	تو کیا تم(مسلمانو!)امید رکھتے ہو کہ یہ تمہارے ساتھ ایمان لے آئیں گے اور حالانکہ ان میں کچھ لوگ (ایسے بھی تھے کہ)اللہ کے کلام کو سننے اور سمجھنے کے بعد اس میں ردّوبدل کردیتے اور جان بوجھ کر کرتے تھے۔
002:076	اور جب مسلمانوں سے ملتے تو کہتے ہم ایمان لائے اور جب اکیلے ہوتے بعض دوسروں کے ساتھ تو (ان سے)کہتے کہ تم وہ باتیں کیوں ظاہر کرتے ہو جو اللہ نے تم پر منکشف کردی ہیں اس طرح تو یہ لوگ (قیامت کو)تمہارے پروردگار کے سامنے سچے ہوجائیں گے تو کیا تمہیں اتنی بھی عقل نہیں ہے؟۔
002:077	کیا وہ اتنا بھی نہیں سمجھتے کہ جو یہ چھپاتے ہیں اور جو ظاہر کرتے ہیں اللہ سب جانتے ہیں۔
002:078	اور ان میں کچھ تو ان پڑھ ہیں کتاب کا علم تو رکھتے نہیں سوائے اپنے (دل خوش کن)خیالات کے اور محض گمان کے سوا کچھ نہیں رکھتے۔
002:079	سو ایسے لوگوں کے لیئے بڑی خرابی ہے جو اپنے ہاتھ سے کتاب لکھتے ہیں پھر کہہ دیتے ہیں یہ اللہ کی طرف سے ہے تاکہ اس سے تھوڑی سی دولت (دنیوی منفعت)حاصل کرسکیں سو جو انہوں نے اپنے ہاتھوں سے لکھا وہ بھی ان کے لیئے بہت خرابی ہے اور جو اس کے بدلے کمایا وہ بھی خرابی کا سبب ہے۔
002:080	اور کہتے ہیں ہمیں تو صرف چند روز آگ کا عذاب ہوگا فرمادیجئے کہ کیا تم نے اللہ سے وعدہ لیا ہے کہ اللہ اپنے اس وعدہ کے خلاف نہ کریں گے یا تم اللہ کے بارے ایسی بات کہتے ہو جو تم جانتے ہی نہیں(بے سند بات)۔
002:081	ہاں یہ درست ہے کہ جوکوئی گناہ کرے اور اس کے گناہ اس پر چھا جائیں تو ایسے ہی لوگ دوزخ کے رہنے والے ہیں وہ اس میں ہمیشہ رہیں گے۔
002:082	اور جو لوگ ایمان لائے اور نیک کام کیے وہ جنت میں رہنے والے ہیں وہ اس میں ہمیشہ رہیں گے۔
002:083	اور جب ہم نے اولاد یعقوبؑ سے عہدلیا کہ اللہ کے سوا کسی کی عبادت نہ کرو اور والدین کے ساتھ احسان کرو اور قرابت داروں اور یتیموں اور مسکینوں سے اور لوگوں سے اچھی بات کہو اور نماز قائم رکھو اور زکوٰۃ دو پھر تم میں سے سوائے چند لوگوں کے تم (اس سے)پھر گئے اور تم پھر جانے والے (عہد شکن)ہو۔
002:084	اور جب ہم نے تم سے عہد لیا کہ تم آپس میں خون نہ بہاؤ گے اور اپنے لوگوں کو اپنے گھروں سے نہ نکالو گے (یعنی علاقہ بدر نہ کرو)پھر تم نے وعدہ کیا اور تم اس کے گواہ ہو۔
002:085	پھر تم ہی وہ لوگ ہو کہ اپنوں کا خون کرتے ہو اور اپنے کچھ لوگوں کو اور ان کے دیس سے نکال دیتے ہو اور ان کے خلاف(ظلم اور زیادتی کرنے والوں کی)مدد کرتے ہو گناہ کرتے ہوئے اور حد سے گزرتے ہوئے اور اگر یہی لوگ تمہارے پاس قیدی ہوکر آتے ہیں تو انہیں معاوضہ دے کر چھڑا دیتے ہو اور حالانکہ ان کا نکال دینا ہی تم پر حرام تھا تو کیا تم کتاب کی کچھ باتیں مان لیتے ہو اور کچھ کا انکار کردیتے ہو تو تم میں سے ایسا کرنے والے کی اور کیا سزا ہوسکتی ہے سوائے اس کے کہ دنیا کی زندگی میں رسوا ہو اور قیامت کے دن سخت عذاب میں ڈالا جائے اور اللہ تمہارے اعمال سے بے خبر نہیں۔
002:086	جو لوگ آخرت کے بدلے دنیا کی زندگی (مال ودولت)خریدتے ہیں تو ان پر کبھی عذاب کم نہ کیا جائے گا اور نہ ان کی کوئی مدد کی جائے گی۔
002:087	اور یقیناً ہم نے موسیٰ (علیہ السلام)کو کتاب دی اور ان کے بعد مسلسل انبیاء کو بھیجتے رہے اور ہم نے عیسیٰ (علیہ السلام)مریم(علیہا السلام)کے بیٹے کو(نبوت کے)واضح دلائل عطا فرمائے اور روح القدس(پاک روح) سے ان کی مدد کی تو جب کبھی تمہارے پاس نبی آیا(اور)تمہاری ذاتی خواہشات کے خلاف بات ہوئی تو تم نے تکبر کیا تو بعض کو تم نے جھٹلایا اور بعض کو قتل کردیتے ہو۔
002:088	اور کہتے ہیں ہمارے دل محفوظ ہیں بلکہ ان پر ان کے کفر کے باعث اللہ نے لعنت کی سو وہ بہت کم ایمان لاتے ہیں۔
002:089	اور جب ان کے پاس اللہ کی طرف سے جو ان کے پاس ہے اس کی تصدیق کرنے والی کتاب آئی اور حالانکہ پہلے (اسی کے سبب)کافروں پر فتح کی دعا کیا کرتے تھے پھر جب ان کے پاس (کتاب)آئی تو اس کا انکار کردیا حالانکہ وہ اسے پہچانتے تھے پس اللہ کی لعنت ہو ایسے کافروں پر۔
002:090	انہوں نے اپنے آپ کو بہت بری چیز کے بدلے بیچا ہے کہ جو (نعمت، نبوت، کتاب)اللہ نے اپنی مہربانی سے اپنے جس بندے پر چاہی نازل فرمائی اس کا بغاوت کرتے ہوئے انکار کردیا سو وہ غضب بالائے غضب کے مستحق ہوئے اور کافروں کے لیئے ذلت والا عذاب ہوگا۔
002:091	اور جب ان سے کہا جاتا ہے اللہ نے جو نازل کیا اس پر ایمان لاؤ تو کہتے ہیں جو ہم پر نازل ہوا ہم اس پر ایمان لاتے ہیں اور اس کے علاوہ سب کا انکار کرتے ہیں اور حالانکہ وہ (کتاب)حق ہے اور جو ان کے پاس ہے اس(کتاب)کی بھی تصدیق(کرتی)ہے۔ ان سے کہیے پھر پہلے اللہ کے نبیوںؑ کو تم نے کیوں قتل کیا اگر تم (تورات پر)ایمان رکھنے والے تھے۔
002:092	اور یقیناً تمہارے پاس موسیٰ(علیہ السلام) واضح دلیلوں کے ساتھ تشریف لائے پھر تم نے ان(کے طور پر جانے)کے بعد بچھڑے کو معبود بنا لیا اور تم بہت غلط کار ہو۔
002:093	اور جب ہم نے تم سے عہد لیا اور تم پر طور (پہاڑ)کو معلق کردیا(تاکہ) جو ہم نے تمہیں عطا کیا ہے اسے مضبوطی سے تھامو اور (غورسے)سنو(تو)کہنے لگے ہم نے سن لیا اور مانا نہیں اور ان کے کفر کی وجہ سے ان کے دلوں میں بچھڑے کی محبت پیوست ہوگئی فرما دیجئے اگر تم ایمان رکھتے ہو تو تمہارا ایمان تمہیں بہت برا (کام کرنے کا)حکم دیتا ہے۔
002:094	(ان سے ) فرمایئے اگر دوسروں کے علاوہ آخرت کا گھر(جنت)اللہ کے نزدیک صرف تمہارے لیئے ہے تو اگر (اس دعوے میں)سچے ہو تو موت کی دعا(آرزو)کرو۔
002:095	اور انہوں نے اپنے ہاتھوں جو آگے بھیجا (یعنی اعمال)ان کے باعث ہرگز آرزو نہ کریں گے اور اللہ ظلم کرنے والوں کو جانتے ہیں۔
002:096	اور آپ ان کو سب سے زیادہ زندگی کاحریص پائیں گے اور شرک کرنے والوں میں سے بھی۔ ہر ایک ان میں چاہتا ہے کہ کاش اس کی زندگی ہزار برس ہو اور اس کو اتنی عمر دے بھی دی جائے تو اس کو عذاب سے نہیں بچا سکتی اور اللہ ان کے اعمال کو دیکھ رہے ہیں۔
002:097	آپ کہہ دیجیئے کہ جو کوئی جبرائیل (علیہ السلام)سے دشمنی رکھے تو یقینا اس نے آپ کے قلب(اطہر)پراللہ کے حکم سے اس (قرآن)کو پہنچایا جو تصدیق کرتا ہے اپنے سے پہلی(کتابوں)کی اور راہنمائی کرتا ہے اور ایمان والوں کو خوشخبری دیتا ہے
