# Akram-ut-Tarajum — complete official Quran translation corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu<TAB>English
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -	Beginning with the Name of Allah, Who is Very Kind, Extremely Merciful.
002:011	اور جب ان سے کہا جاتا ہے کہ زمین میں فساد نہ کرو تو کہتے ہیں کہ ہم تو اصلاح کرنے والے ہیں۔	And when they are told not to make mischief in the land, they say, ‘We are but peacemakers.’
002:012	یاد رکھو! یقیناً یہی لوگ فساد کرنے والے ہیں ولیکن وہ اس کا شعور نہیں رکھتے۔	Remember! Indeed, these people are the mischief-makers; but they have no perception of this.
002:013	اور جب ان سے کہا جاتا ہے کہ تم بھی ایسا ہی ایمان لاؤ جس طرح اور لوگ ایمان لائے ہیں تو کہتے ہیں کیا ہم ویسا ایمان لائیں جیسا بے وقوف لوگ ایمان لائے ہیں؟ یاد رکھو! یقیناً وہی(خود) بے وقوف ہیں مگر نہیں جانتے۔	And when it is said to them, ‘You should also believe as the other people have believed,’ they say, ‘Should we believe as the fools have believed?’ Remember! Indeed, they (themselves) are the fools, but they do not know.
002:014	اور جب ایمان والوں سے ملتے ہیں تو کہتے ہیں ہم ایمان لے آئے مگر جب اپنے شریر سرداروں سے علیحدگی میں ملتے ہیں توکہتے ہیں ہم تمہارے ساتھ ہیں(مسلمانوں سے) ہم تو مذاق کیا کرتے ہیں۔	And when they meet those who believe, they say, ‘We believe.’ But when they meet their evil chiefs in seclusion, they say, ‘We are with you; we only make fun (of the Muslims).’
002:015	اللہ ان(منافقوں) سے مذاق کرتے ہیں اور انہیں مہلت دئیے جاتے ہیں کہ اپنی سرکشی میں سرگرداں ہورہے ہیں۔	Allah mocks at them (the hypocrites) and keeps granting them rein, they are wandering in their rebellion.
002:016	انہوں نے ہدایت کے بدلے گمراہی خریدی تو نہ تو ان کی تجارت نے(انہیں) نفع دیا اور نہ ہی وہ ہدایت پاسکے۔	They purchased misguidance in exchange for guidance; so neither did their trade profit (them), nor could they even find guidance.
002:017	ان کی مثال اس شخص جیسی ہے جِس نے کہیں(شبِ تار میں) آگ جلائی ہو۔ جب(آگ نے) اس کے اردگرد کی چیزوں کو روشن کردیا تو اللہ نے ان لوگوں کی روشنی سلب کرلی ہو اور ان کو اندھیروں میں چھوڑ دیا کہ وہ کچھ دیکھ نہیں پاتے۔	Their example is like the person who kindles a fire somewhere (on a dark night); when it (the fire) has lit up the things around him, Allah takes away the light of these people and leaves them in utter darkness; that they cannot see anything.
002:018	بہرے ہیں گونگے ہیں اندھے ہیں کہ وہ (ہدایت کی طرف) لوٹ نہیں سکتے۔	They are deaf, dumb, and blind; so they cannot return (to guidance).
002:019	یا ان کی مثال بارش جیسی ہے کہ آسمان کی طرف سے برس رہی ہو جِس میں تاریکی چھا رہی ہو اور بادل گرج رہا ہو اور بجلی کوند رہی ہو تو یہ کڑک سے(ڈر کر) موت کے خوف سے کانوں میں انگلیاں دے لیں اور اللہ کافروں کو ہر طرف سے گھیرے ہوئے ہیں۔	Or their example is like the rain falling from the sky, wherein darkness is spreading, and the cloud is thundering, and the lightning is flashing, and in fear of death they stuff fingers in their ears (in fright) from the thunderclap. And Allah is surrounding the unbelievers from all sides.
002:020	ایسا لگتا ہے کہ بجلی (کی چمک) نے ان کی بینائی لے لی جہاں ذرا ان کو (بجلی کی) روشنی ہوئی تو اس میں چلنا شروع کر دیا اور جب اُن پر تاریکی ہوئی تو کھڑے کے کھڑے رہ گئے۔ اور اگر اللہ چاہتے تو ان کی سماعت اور بصارت سب سلب کرلیتے بے شک اللہ ہر چیز پر قادر ہیں۔	It seems that the (flash of) lightning took away their sight. Wherever they get some light (from the flash) they start walking in it, and when darkness envelops them they remain standing still. And had Allah willed, He could have taken away all of their hearing and sight. Without doubt, Allah has Power over everything.
002:021	اے لوگو! اپنے پروردگار کی عبادت کرو جِس نے تم کو اور تم سے پہلے لوگوں کو پیدا کیا تاکہ تم (گرفت سے)بچ سکو۔	O mankind! Worship your Rabb Who created you and those before you, so that you may be saved (from the Grasp).
002:022	جِس نے تمہارے لیے زمین کو بچھونا اور آسمان کو چھت بنایا اور آسمان سے پانی برسا کر تمہارے کھانے کے لیے انواع و اقسام کے پھل پیدا کیے پس کسی کو اللہ کا ہمسر نہ بناؤ اور تم جانتے ہو۔	Who has made the earth a bed and the sky a ceiling for you, and by pouring water from the sky has produced different varieties and species of fruits for you to eat. Therefore, do not set up anyone as Allah’s equal, and you know.
002:023	اور اگر تم کو اس کتاب میں جو ہم نے اپنے بندۂ خاص پر نازل فرمائی کچھ شک ہوتو ایسی تحریر کا ایک ٹکڑا تم بھی بنا لاؤ اور اگر تم سچے ہو تو اللہ کے علاوہ جو تمہارے مددگار ہیں ان کو بھی بلا لو۔	And if you have any doubt about this Book which We have revealed to Our Special Slave, then you too bring a part of a document such as this; and, also call those who are your helpers, other than Allah if you are truthful.
002:024	پھر اگر تم یہ کام نہ کرسکے اور ہرگز نہ کر سکو گے تو اس آگ سے ڈرو جِس کا ایندھن آدمی اور پتھر ہوں گے (اور) جو کافروں کے لیے تیار کی گئی ہے۔	Then if you cannot do this, and certainly you will never be able to, then fear the Fire whose fuel will be men and stones, (and) which has been prepared for the unbelievers.
002:025	اور جو لوگ ایمان لائے اور نیک کام کرتے رہے ان کو خوشخبری سنا دو کہ ان کے لئے باغات ہیں جن کے تابع نہریں بہہ رہی ہیں جب ان میں سے انہیں کسی قسم کا پھل کھانے کو دیا جائے گا تو کہیں گے یہ تو وہی ہے جو ہم کو پہلے دیا گیا تھا اور ان کوایک دوسرے سے ملتے جلتے (پھل)دیئے جائیں گے اور وہاں ان کے لئے پاک بیویاں ہوں گی اور وہ ان (باغوں)میں ہمیشہ رہیں گے۔	And the people who believed and kept performing righteous deeds, give them the glad tidings that for them are gardens under whose direction streams are flowing; when they are given any kind of fruit to eat therein, they will exclaim, ‘This is the same that we were given before.’ And they will be given (fruits) resembling each other; and there will be pure wives for them; and they will remain in these (Gardens) forever.
002:026	یقیناً اللہ مچھر یا اس سے اوپر کی (کم تر)کسی شے کی مثال دینے سے نہیں شرماتے ہاں پس جو مومن ہیں وہ جانتے ہیں کہ یہ ان کے پروردگار نے حق کہا ہے (یعنی سچی بات اور بر موقع ہے)اور جو کافر ہیں تو وہ کہتے ہیں کہ اس مثال سے اللہ کی کیا مراد ہے؟اکثر لوگوں کو وہ (اللہ)اس سے گمراہ کرتے ہیں اور اکثر کو اس سے ہدایت بخشتے ہیں اور وہ اس سے صرف نافرمانوں کو گمراہ کرتے ہیں۔	Indeed, Allah does not feel shy of citing the example of a mosquito or something greater than that; yes, as for those who are believers, they know that their Rabb has stated the Truth (meaning, it is true and appropriate); and those who are unbelievers say, ‘What does Allah mean by this example?’ He sends astray many people by it and grants guidance to many by it. And He sends astray, thereby, only the disobedient.
002:027	جو لوگ اللہ سے پکا وعدہ کرنے کے بعد توڑ دیتے ہیں اور اللہ نے جس کے جوڑنے کا حکم دیا ہے اس کو توڑتے ہیں اور زمین میں خرابی کرتے ہیں یہی لوگ نقصان اٹھانے والے ہیں۔	The people who break the solemn promise with Allah after making, it; and sever that which Allah has commanded to be joined, and make mischief on earth; these people are the losers.
002:028	تم اللہ کا انکار کیسے کرسکتے ہو اور تم بے جان تھے پھر اس نے تم کو حیات دی پھر تم کو موت دے گا پھر تمہیں زندہ کرے گا پھر تم اسی کے پاس لوٹائے جاؤ گے۔	How can you deny Allah? You were lifeless and He gave you life, then He will give you death, then He will give you life, then you will be returned to Him.
002:029	وہی تو ہے جس نے زمین میں سب کچھ تمہارے لئے پیدا کیا پھر آسمانوں کی طرف توجہ فرمائی تو سات آسمان درست بنادیئے اور وہ سب چیزوں سے آگاہ ہے۔	He it is Who has created everything in the earth for you; then attended towards the heavens and fashioned seven perfect heavens; and He is Aware of everything.
002:030	اور جب آپ کے پروردگار نے فرشتوں سے کہا کہ میں زمین میں (اپنا)نائب بنانے والا ہوں۔ فرشتوں نے کہا کہ آپ اس (زمین)میں ایسے لوگوں کو نائب بنانا چاہتے ہیں جو اس میں فساد کریں گے اور خون ریزیاں کریں گے اور ہم آپ کی تسبیح کرتے ہیں (اور)تعریف کرتے اورآپ کی پاکی بیان کرتے ہیں فرمایا جو میں جانتا ہوں وہ تم نہیں جانتے۔	And when your Rabb said to the angels, ‘I am about to create (My) deputy on earth;’ the angels submitted, ‘Do You want to create in it (the earth) such people as Your deputy, who will make mischief therein and shed blood, while we celebrate Your Glory (and) praise You and proclaim Your Holiness?’ He said, ‘You do not know what I know.’
002:031	اور آدم(علیہ السلام)کو تمام چیزوں کے نام سکھا دیئے پھر وہ(چیزیں)فرشتوں کے سامنے کردیں تو(فرشتوں سے)فرمایا کہ اگر تم سچے ہو تو ان کے اسماء (مع خواص)بیان کرو۔	And He taught Adam (Alaihi as-Salam) the names of everything, then displayed those (things) before the angels and commanded (the angels), ‘Then state their names (along with their properties), if you are truthful.’
002:032	انہوں نے کہا کہ آپ پاک ہیں جتنا علم آپ نے ہم کو دیا اس کے علاوہ ہمیں کچھ معلوم نہیں بے شک آپ جاننے والے اور حکمت والے ہیں۔	They submitted, ‘Hallowed are You! We know nothing apart from whatever knowledge You have given us. Without doubt, You are the Knowing and the Wise.’
002:033	فرمایا اے آدم(علیہ السلام)! ان کو ان چیزوں کے نام بتائیے پھر جب انہوں نے ان کو ان کے نام بتائے تو فرمایا کیا میں نے تم سے کہا نہیں تھا کہ میں آسمانوں اور زمین کی تمام پوشیدہ باتیں جانتا ہوں اور جو تم ظاہر کرتے ہو اور جو تم چھپاتے ہو وہ (سب)بھی جانتا ہوں۔	He commanded, ‘O Adam (Alaihi as-Salam) tell them the names of these things,’ then when he told them their names, He said, ‘Did I not tell you that I know all the secrets of the heavens and the earth, and I also know (all) that which you reveal and which you conceal?’
002:034	اور جب ہم نے فرشتوں کو حکم دیا کہ آدم(علیہ السلام)کو سجدہ کرو تو ابلیس کے علاوہ سب سجدہ میں گر گئے اس نے (غرور میں آکر) انکار کیا اور تکبر کیا اور وہ (علم الٰہی میں)تھا ہی کافروں میں سے۔	And when We commanded the angels to prostrate themselves before Adam (Alaihi as-Salam), so they all fell into prostration except Iblees. He refused (due to pride) and was arrogant, and he (in Allah’s Knowledge) was ever of the unbelievers.
002:035	اور ہم نے آدم (علیہ السلام)سے فرمایا آپ اور آپ کی بیوی جنت میں رہیں اور اس میں جہاں سے چاہیں مزے سے کھائیں(پئیں)اور اس درخت کے قریب مت جائیں ورنہ نقصان اٹھانے والوں میں سے ہوجائیں گے۔	And We said to Adam (Alaihi as-Salam), ‘Dwell you and your wife in Paradise, and eat (and drink) with pleasure therein from wherever you like; and do not go near this tree, else you will be of those who suffer loss.’
002:036	پھر شیطان نے ان کو اس سے بہکایا تو جس (عیش ونشاط)میں تھے اس سے ان کو نکلوادیا اورہم نے فرمایا (یہاں سے)چلے جاؤ تم ایک دوسرے کے دشمن ہو اور تمہارے لیئے زمین میں ایک مقررہ وقت تک رہائش اور معاش ہے۔	Then Shaitan made them waver therefrom, and had them expelled from that (enjoyment and pleasure) which they were in; and We said, ‘Go away (from here), you are enemies of one another; and there is an abode and livelihood for you on earth till an appointed time.’
002:037	پھر آدم(علیہ السلام)نے اپنے پروردگار سے کچھ کلمات سیکھے تو اُس نے ان کو معاف کردیا بے شک وہ بڑا معاف کرنے والا(اور)رحم کرنے والا ہے۔	Then Adam (Alaihi as-Salam) learnt certain Words from his Rabb, so He forgave him; without doubt, He is Extremely Forgiving, (and) Merciful.
002:038	ہم نے فرمایا تم سب یہاں سے نیچے چلے جاؤ پھر جب تمہارے پاس میری طرف سے راہنمائی پہنچے تو جو میری راہنمائی کی پیروی کریں گے تو ان کو کوئی ڈر ہوگا اور نہ وہ افسوس کریں گے۔	We said, ‘Go down from here, all of you. So when there comes to you guidance from Me, then those who follow My guidance will have neither fear, nor will they feel sorry.
002:039	اور جنہوں نے ہماری آیات کا انکار کیا اور جھٹلایا وہ دوزخ میں رہنے والے ہیں(اور)وہ اس میں ہمیشہ رہیں گے۔	And those who deny Our Ayaat and belie them, they are the inmates of Hell; (and) they will remain in it forever.’
002:040	اے اولاد یعقوبؑ! جو احسانات میں نے تم پر کیے وہ یاد کرو اور جو وعدہ تم نے مجھ سے کیا وہ پورا کرو میں نے جو وعدہ تم سے کیا ہے وہ پورا کروں گا اور صرف مجھ سے ہی ڈرا کرو۔	O Children of Yaqoob (Alaihi as-Salam)! Remember the favours I bestowed upon you, and fulfil the promise that you made with Me, I will fulfil the Promise I made with you, and fear Me only.
002:041	اور جو میں نے نازل فرمایا ہے اس پر ایمان لاؤ کہ وہ جو تمہارے پاس ہے اس کی تصدیق کرتا ہے اور اس کا انکار کرنے والوں میں پہلے نہ بنو اور میری آیات کو گھٹیا قیمت (دنیا)کے بدلے مت بیچو اور صرف میرا تقویٰ اختیار کرو۔	And believe in what I have revealed, as it confirms that which is with you, and do not be among the first ones to deny it, and do not sell My Ayaat in exchange for a miserable price (the world), and be conscious of Me only.
002:042	اور حق کو جھوٹ سے آمیز نہ کرو اور تم حق کو چھپاتے ہو اور یہ تم جانتے ہو۔	And do not contaminate Truth with falsehood, and do not conceal the Truth, and this you know.
002:043	اور نماز (صلوٰۃ) قائم کرو اور زکوٰۃ دو اور رکوع کرنے والوں کے ساتھ رکوع کرو۔	And establish prayers (Salah) and give Zakat, and bow down along with those who bow down.
002:044	کیا تم لوگوں کو نیکی کا حکم کرتے ہو اور اپنے آپ کو بھول جاتے ہو حالانکہ تم کتاب پڑھتے ہو پھر تم اتنا بھی نہیں سمجھتے۔	Do you enjoin virtue upon people and forget yourselves, even though you read the Book? Then do you not understand even this?
002:045	اور صبر اور صلوٰۃ سے مدد حاصل کرو اور بے شک یہ دشوار ہے مگر ان کے لیئے نہیں جن کے دلوں میں خشوع ہے۔	And seek help in patience and Salah; it is indeed difficult, but not for those whose hearts have humility.
002:046	وہ ، وہ لوگ ہیں جو جانتے ہیں کہ انہیں اپنے پروردگار کی بارگاہ میں پیش ہونا ہے اور انہیں اسی کی طرف واپس جانا ہے۔	They are those people who know that they have to appear before their Rabb and they have to return to Him.
002:047	اے اولاد یعقوبؓ ! میری نعمت یاد کرو جو میں نے تم پر انعام کی اور میں نے تمہیں تمام جہان والوں پر فضیلت دی۔	O Children of Yaqoob (Alaihi as-Salam)! Remember My Favour, which I bestowed upon you, and I gave you preference over everyone in the world.
002:048	اور اس دن سے ڈرو جب کوئی کسی کے کچھ کام نہ آئے گا اور نہ کسی سے سفارش قبول کی جائے گی اور نہ کسی سے بدلے میں کچھ لیا جائے گا اور نہ کوئی (کسی اور طرح سے)کسی کی مدد کرسکے گا۔	And be conscious of the Day when nobody will avail another, neither will any intercession be accepted, nor any compensation be taken from anyone, nor will anybody (in any other way) be able to help anyone.
002:049	اور جب ہم نے تم کو فرعون کی قوم سے نجات دی جو تمہیں دکھ دینے کی فکر میں رہتے تھے تمہارے بیٹوں کو ذبح کرتے اور تمہاری بیٹیوں کو زندہ رکھتے تھے اور اس میں تمہارے پروردگار کی طرف سے بہت بڑی آزمائش تھی۔	And when We saved you from Fir‘aun’s people who remained occupied with causing you grief; they slaughtered your sons and kept your daughters alive; and in this was a tremendous trial from your Rabb.
002:050	اور جب ہم نے تمہاری خاطر سمندر کو پھاڑ دیا پھر تمہیں بچا لیا اورآل فرعون کو (فرعون سمیت)غرق کردیا اور تم یہ(سب)دیکھ رہے تھے۔	And when We parted the sea for you, then saved you and drowned the people of Fir‘aun (along with Fir‘aun), and you were witnessing (all) this.
002:051	اور جب ہم نے موسیٰ(علیہ السلام)سے چالیس راتوں کا وعدہ کیا پھر تم نے ان کے بعد بچھڑے کو(معبود)بنالیا اور تم بہت غلط کار تھے۔	And when We promised for Musa (Alaihi as-Salam) forty nights, then you took the calf (as deity) after him, and you were gross wrongdoers.
002:052	پھر اس کے بعد(بھی)ہم نے تم کو معاف کردیا تاکہ تم شکر کرو۔	Then even after that (also) We forgave you, so that you may give thanks.
002:053	اور جب ہم نے موسیٰ (علیہ السلام) کو کتاب اور فیصلہ کرنے کی چیز (معجزہ) دی تاکہ تم ہدایت پاسکو۔	And when We gave Musa (Alaihi as-Salam) the Book and the Criterion for judgement (miracle) so that you may be guided.
002:054	اور جب موسیٰ(علیہ السلام) نے اپنی قوم سے فرمایا کہ اے میری قوم! تم نے گئو سالہ پرستی کرکے یقینا اپنا بڑا نقصان کرلیاہے پس اپنے پیدا کرنے والے کے سامنے توبہ کرو پس بعض، بعض کو قتل کرو یہ تمہارے پیدا کرنے والے کے نزدیک تمہارے لیئے بہتر ہے سو اسی نے تمہاری توبہ قبول کرلی یقینا وہ توبہ قبول کرنے والا نہایت رحم کرنے والا ہے۔	And when Musa (Alaihi as-Salam) told his people, ‘O my people! You have indeed greatly harmed yourself by worshipping the calf. Therefore repent before your Maker; so some of you should kill the others; this is better for you before your Maker.’ So He accepted your repentance. Indeed, He is the Acceptor of repentance, Extremely Merciful.
002:055	اور جب تم نے کہا اے موسیٰ (علیہ السلام)! ہم آپ کے کہنے سے ہرگزایمان نہ لائیں گے یہاں تک کہ ہم اللہ کو واضح دیکھ لیں تو اس (گستاخی)پر تم پربجلی کی کڑک آ پڑی اور تم دیکھ رہے تھے۔	And when you said, ‘O Musa (Alaihi as-Salam)! We will certainly not believe just on your statement until we see Allah plainly;’ and for this (insolence) the thunderbolt struck you, and you were looking on.
002:056	پھر ہم نے تمہارے مرنے کے بعد تمہیں زندہ کر اٹھایا تاکہ تم شکر کرو۔	Then We raised you up after your death, so that you may give thanks.
002:057	اور ہم نے تم پر بادل سایہ فگن کیا اور تم کو من وسلویٰ (ترنجبین اور بٹیریں)عطا کیں کہ ہماری عطا سے پاکیزہ چیزیں کھاؤ اور انہوں نے ہمارے ساتھ زیادتی نہیں کی بلکہ وہ اپنے آپ کے ساتھ زیادتی کرتے رہے۔	And We shaded you with the cloud and granted you Manna and Salwa (Turanjbeen and quails), ‘Eat the wholesome things of Our grant.’ And they did not wrong Us, they only kept wronging their own selves.
002:058	اور جب ہم نے کہا اس شہر میں داخل ہوجاؤ پھر اس میں جہاں سے چاہو بافراغت کھاؤ اور دروازے سے سرنگوں ہوکر (سجدہ کرتے ہوئے)اور بخشش مانگتے ہوئے داخل ہونا ہم تمہاری خطائیں بخش دیں گے اور نیکی کرنے والوں کو اور زیادہ دیں گے۔	And when We said, ‘Enter this town and eat freely from wherever you like; and enter through the gate, bowing your head (prostrating) and asking for forgiveness. We will forgive your sins and grant even more to the doers of good.’
002:059	پھر ظالموں نے جو بات ان سے کہی گئی تھی اس کو بدل ڈالا تو ہم نے ظلم کرنے والوں پر آسمان سے عذاب اتارا اس وجہ سے کہ وہ بدکار تھے۔	Then the wrongdoers changed the word that was told to they them; so We sent down torment from the heavens on those who did wrong, because were evildoers.
002:060	اور جب موسیٰ (علیہ السلام)نے اپنی قوم کے لیے پانی کی دعا کی تو ہم نے فرمایا اپنے عصا کو اس پتھر پر ماریں تو اس میں سے بارہ چشمے پھوٹ نکلے ہر شخص کو اپنے گھاٹ کا پتہ چل گیا (فرمایا)اللہ کے دئیے سے کھاؤ اور پیو اور زمین پر فساد کرتے ہوئے نہ پھرو۔	And when Musa (Alaihi as-Salam) prayed for water for his people, We said, ‘Strike the rock with your staff.’ So twelve springs gushed forth from it, and each person knew his place of water. (He said), ‘Eat and drink of what Allah has given you, and do not go about spreading mischief in the land.’
002:061	اور جب تم نے کہا اے موسیٰ(علیہ السلام)! ہم ایک ہی قسم کے کھانے پہ ہرگز نہ رہیں گے پس اپنے پروردگار سے ہمارے لیئے دعا کیجئے کہ ہمیں زمین کی پیداوار عطا کرے جیسے ساگ اور ککڑی اور گیہوں اور مسور اور پیاز تو انہوں نے فرمایا کیا تم اعلیٰ نعمت کو کمتر چیزوں سے بدلنا چاہتے ہو۔کسی شہر میں اترو تو یقیناً وہاں تمہیں تمہاری مطلوبہ چیزیں مل جائیں گی اور ان پر ذلت اور فقیری مسلط کردی گئی اور غضب الٰہی کے مستحق ٹھہرے یہ اس لیئے کہ وہ احکام الٰہی کا انکار کرتے اور انبیاء کو ناروا قتل کرتے تھے(اور)اس لیئے کہ نافرمانی کرتے اور حد سے نکل جاتے تھے۔	And when you said, ‘O Musa (Alaihi as-Salam), we will never content ourselves with only one type of food. Therefore, pray to your Rabb for us to grant us what the earth grows such as spinach and cucumbers, and wheat and lentils, and onions.’ He said, ‘Do you want to exchange the higher blessing for the inferior things? Go down to any town, and surely you will find your desired things there.’ And disgrace and misery were imposed upon them, and they came to deserve the wrath of Allah. This was because they denied the Commands of Allah and killed the Prophets wrongfully, (and) because they used to disobey and cross all limits.
002:062	یقیناً جو مسلمان ہوئے اور جو لوگ یہودی ہوئے اور نصرانی اور صابئین (بے دین)(غرض)جو بھی اللہ پر اور آخرت کے دن پر یقین رکھتا ہو اور نیک کام کرے تو ایسے لوگوں کے لیئے ان کے پروردگار کے پاس اُن کا اجر ہے اور انہیں کوئی ڈر ہوگا اور نہ افسوس۔	Indeed, those who became Muslims, and those who became Jews and the Christians and the Sabiens (atheists) - (in short) anyone who believes in Allah and the Last Day and performs righteous deeds, the reward for such people is with their Rabb, and they shall neither have fear nor sorrow.
002:063	اور جب ہم نے تم سے عہد لیا اور تم پر طور (پہاڑ)کو معلق کردیا کہ جو کچھ ہم نے تمہیں دیا ہے اُسے مضبوطی سے اختیار کرو اور جو اس میں ہے اسے یاد کرو تاکہ تم پرہیز گار بن سکو۔	And when We took a pledge from you and suspended the Toor (mountain) over you, ‘Adopt firmly whatever We have given you, and remember what is in it, so that you may become Allah-conscious.’
002:064	پھر اس کے بعد تم پھر گئے پس اگر تم پر اللہ کا کرم اور اس کی رحمت نہ ہوتی تو تمہارا بہت نقصان ہوتا۔	Then after this you turned away. Had it not been for Allah’s Grace and Mercy upon you, you would have been in utter loss.
002:065	اور یقینا تم اپنے لوگوں کو جانتے ہو جو ہفتے والے دن(کے حکم)سے حد سے نکل گئے تو ہم نے ان کو حکم دیا کہ تم ذلیل بندر بن جاؤ۔	And surely you know your people who transgressed (the Command) about Saturday. So, We commanded them to become despised apes.
002:066	پھر اس (قصّےّ)کو ہم نے عبرت بنادیا ان کے ہم عصر لوگوں کے لیئے اور بعد میں آنے والوں کے لیئے اور نصیحت پرہیزگاروں کے لیئے۔	Then We made this (account) a lesson for the people of their time and for those coming later, and an admonition for the Allah-conscious.
002:067	اور جب موسیٰ (علیہ السلام)نے اپنی قوم سے فرمایا یقینا اللہ نے تمہیں حکم دیا ہے کہ ایک بیل ذبح کرو تو کہنے لگے کیا آپ ہم سے مذاق کرتے ہیں؟ انہوں نے فرمایا میں جاہلوں میں شامل ہونے سے اللہ کی پناہ مانگتا ہوں۔	And when Musa (Alaihi as-Salam) said to his people, ‘Indeed, Allah has commanded you to slaughter a bull.’ They said, ‘Are you joking with us?’ He said, ‘I seek Allah’s Refuge from being included among the ignorant.’
002:068	تو انہوں نے کہا اپنے پروردگار سے ہمارے لیئے دعا کریں ہمیں بتائے کہ وہ بیل کیسا ہے؟ تو انہوں نے فرمایا وہ فرماتا ہے کہ بے شک وہ بیل نہ بوڑھا ہے اور نہ بچہ، اس کے درمیان جوان ہے پس تمہیں جو حکم دیا گیا ہے اس پر عمل کرو۔	So they said, ‘Pray to your Rabb for us to explain to us what kind of a bull is it?’ So he said, ‘He says that without doubt, that bull is neither old nor a calf but is a young one between the two. So act upon what you have been commanded.’
002:069	انہوں نے کہا اپنے پروردگار سے ہمارے لئے دعا کریں وہ ہمیں بتائے کہ اس کا رنگ کیا ہے؟ تو انہوں نے فرمایا وہ فرماتا ہے کہ اس کا رنگ گہرا زرد ہے (کہ)دیکھنے والوں کو بہت اچھا لگتا ہے۔	They said, ‘Pray to your Rabb for us to tell us what is its colour?’ So he said, ‘He says, its colour is deep yellow, (which is) greatly pleasing to the beholders.’
